,beneficiario,destino,exercicio,motivo,nEmpenho,periodo,situacaoEmpenho,unidadeOrcamentaria,valorTotalDiario
163,FRANCISCO ASSUNCAO E SILVA,BRASILIA-DF,2014,"PARTICIPAR NA REUNIAO DO GRUPO TECNICO DA COFIEX(MINISTERIO DO PLANEJAMENTO ,ORCAMENTARIO E GESTAO.                                                                                                                                                            ",0152,15/01/2014 a 16/01/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"960,00"
164,ZUILTON DE MENDONCA MAIA FILHO,SPAULO-,2014,AFIM DE PARTICIPAR DO CURSO DE MELHORES PRATICAS PARA A FISCALIZACAO EFICIENTE DOS CONTRATOS DE COMPRAE SERVICO NA ADMINISTRACAO PUBLICA NO PERIODO DE 12A 14 02 2014                                                                                          ,0155,12/02/2014 a 15/02/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"192,00"
165,ZUILTON DE MENDONCA MAIA FILHO,SPAULO-,2014,AFIM DE PARTICIPAR DO CURSO DE MELHORES PRATICAS PARA A FISCALIZACAO EFICIENTE DOS CONTRATOS DE COMPRAE SERVICO NA ADMINISTRACAO PUBLICA NO PERIODO DE 12A 14 02 2014                                                                                          ,0156,12/02/2014 a 15/02/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.728,00"
166,LUCIANA DA SILVA DE OLIVEIRA BORGES,SPAULO-,2014,AFIM DE PARTICIPAR DO CURSO DE MELHORES PRATICAS PARA A FISCALIZACAO EFICIENTE DOS CONTRATOS DE COMPRAE SERVICO NA ADMINISTRACAO PUBLICA NO PERIODO DE 12A 14 02 2014                                                                                          ,0157,12/02/2014 a 15/02/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"192,00"
167,LUCIANA DA SILVA DE OLIVEIRA BORGES,SPAULO-,2014,AFIM DE PARTICIPAR DO CURSO DE MELHORES PRATICAS PARA A FISCALIZACAO EFICIENTE DOS CONTRATOS DE COMPRAE SERVICO NA ADMINISTRACAO PUBLICA NO PERIODO DE 12A 14 02 2014                                                                                          ,0158,12/02/2014 a 15/02/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.728,00"
168,LUCIVANDA SERPA GOMES,SPAULO-,2014,AFIM DE PARTICIPAR DO CURSO DE MELHORES PRATICAS PARA A FISCALIZACAO EFICIENTE DOS CONTRATOS DE COMPRAE SERVICO NA ADMINISTRACAO PUBLICA NO PERIODO DE 12A 14 02 2014                                                                                          ,0159,12/02/2014 a 15/02/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"192,00"
169,SANDRO RICARDO V BANDEIRA,RECIFE-PE,2014,PARA PARTICIPAR DO VI SIMPOSIO DA SOCIEDADE BRASILEIRA DE ENGENHARIA.                                                                                                                                                                                          ,1157,24/11/2014 a 29/11/2014,Empenhado,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.380,00"
170,LUCIVANDA SERPA GOMES,SPAULO-,2014,AFIM DE PARTICIPAR DO CURSO DE MELHORES PRATICAS PARA A FISCALIZACAO EFICIENTE DOS CONTRATOS DE COMPRAE SERVICO NA ADMINISTRACAO PUBLICA NO PERIODO DE 12A 14 02 2014                                                                                          ,0160,12/02/2014 a 15/02/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.728,00"
171,DANIEL MOTA COELHO,S PAULO-,2014,DESPESA RELATIVA AO PAGAMENTO DE DIARIAS AFIM D PARTICIPAR NO CURSO MELHORES PRATICAS PARA A FISCALIZACAO EFICIENTE DOS CONTRATOS DE COMPRAS E SERVICOSNA ADMINISTRACAO PUBLICA                                                                                ,0161,12/02/2014 a 15/02/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"192,00"
172,DANIEL MOTA COELHO,S PAULO-,2014,DESPESA RELATIVA AO PAGAMENTO DE DIARIAS AFIM D PARTICIPAR NO CURSO MELHORES PRATICAS PARA A FISCALIZACAO EFICIENTE DOS CONTRATOS DE COMPRAS E SERVICOSNA ADMINISTRACAO PUBLICA                                                                                ,0162,12/02/2014 a 15/02/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.728,00"
173,SAMUEL ANTONIO SILVA DIAS,BRASILIA-DF,2014,PARTICIPAR DE REUNIAO BID-DELIBERACOES E APRESENTACAO DE REAULTADOS DO PROGRAMA PREURBIS NO DIA 21 02 2014.                                                                                                                                                    ,0214,21/02/2014 a 22/02/2014,Pago,27.101-SECRETARIA MUNICIPAL DE INFRAESTRUTURA,"1.100,00"
174,JOSE ROBERTO DE RESENDE,SAO PAULO-SP,2014,PARTICIPAR DE REUNIAO GTEC-PROGRAMA CIDADES COM FUTURO  NO DIA 12 02 2014.                                                                                                                                                                                     ,0215,12/02/2014 a 13/02/2014,Pago,27.101-SECRETARIA MUNICIPAL DE INFRAESTRUTURA,"1.100,00"
175,ANA MANUELA MARINHO NOGUEIRA,BRASILIA-DF,2014,"PARTICIPAR DE REUNIAO ACERCA DE CONSTRUCAO DAS CRE-CHES DO PROGRAMA PROINFANCIA, ATRAVES DE METODOLO-GIA INOVADORAS - MI.                                                                                                                                      ",0082,27/02/2014 a 28/02/2014,Pago,27.101-SECRETARIA MUNICIPAL DE INFRAESTRUTURA,"960,00"
176,MARIA LUIZA TAVORA DE HOLANDA VIANA,RIO DE JANEIRO-RJ,2014,PARTICIPAR E APRESENTAR UM ESTUDO DE CASO NO SEMINARIO OPERACIONAL DE PROTECAO AS MARCAS A CONVITE DAFIFA.                                                                                                                                                     ,0038,12/02/2014 a 14/02/2014,Pago,28.101-SECRETARIA MUNICIPAL DE URBANISMO E MEIO AMBIENTE,"1.350,00"
177,PATRICIA HELENA NOBREGA STUDART,BRASILIA-DF,2014,VISITA TECNICA A SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL E TRANASFERENCIA DE RENDA PARA IMPLANTACAO DO CADUNICO NO MUNICIPIO.                                                                                                                           ,0034,02/02/2014 a 04/02/2014,Pago,"31.101-SECRETARIA MUNICIPAL DE TRABALHO, DESENVOLVIMENTO SOCIAL E COMBATE A FOME","1.440,00"
178,JOSE IRAGUASSU TEIXEIRA FILHO,SAO PAULO-SP,2014,PARTICIPAR DO CURSO DE EXTENSAO EM ENCONTRO NACIONAL DE NIVELAMENTO CONCEITUAL DO ASSESSORAMENTO EGARANTIA DE DIREITOS NA POLITICA DE ASSISTENCIASOCIAL.                                                                                                       ,0044,10/02/2014 a 12/02/2014,Pago,"31.101-SECRETARIA MUNICIPAL DE TRABALHO, DESENVOLVIMENTO SOCIAL E COMBATE A FOME","1.650,00"
179,MARCIA OLIVEIRA CAVALCANTE CAMPOS,BRASILIA-DF,2014,"PARTICIPAR DO LANCAMENTO DO RELATORIO DE MONITORAMENTO GLOBAL DE EDUCACAO PARA TODOS - EPT, COM O TEMAENSINAR E APRENDER: ALCANCAR A QUALIDADE PARA TODOS                                                                                                      ",1678,29/01/2014 a 30/01/2014,Pago,24.901-FUNDO MUNICIPAL DE EDUCACAO,"960,00"
180,SANDRO RICARDO V BANDEIRA,RECIFE-PE,2014,PARA PARTICIPAR DO VI SIMPOSIO DA SOCIEDADE BRASILEIRA DE ENGENHARIA.                                                                                                                                                                                          ,1157,24/11/2014 a 29/11/2014,Empenhado,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.380,00"
181,JOAQUIM ARISTIDES DE OLIVEIRA,BRASILIA-DF,2014,"PARTICIPAR DE REUNIAO PARA TRATAR DE CONSTRUCAO DECRECHES DO PROGRAMA PROINFANCIA, NO DIA 27 01 14.                                                                                                                                                            ",1679,27/01/2014 a 28/01/2014,Pago,24.901-FUNDO MUNICIPAL DE EDUCACAO,"1.100,00"
182,CIRCE JANE TELES DA PONTE,BRASILIA-DF,2014,"CONCESSAO DE DIARIAS PARA PARTICIPAR DE REUNIAO EMBRASILIA SOBRE O PROJETO FIFA FAN FEST, NO DIA 14 01 2014                                                                                                                                                    ",0016,14/01/2014 a 15/01/2014,Pago,52.101-SECRETARIA MUNICIPAL EXTRAORDINARIA DA COPA 2014,"960,00"
183,CIRCE JANE TELES DA PONTE,RIO DE JANEIRO-RJ,2014,"CONCESSAO DE DIARIAS PARA PARTICIPAR DO V SEMINARIOFIFA FAN FEST, NOS DIAS 22 E 23 DE JANEIRO DE 2014, NA CIDADE DO RIO DE JANEIRO.                                                                                                                            ",0017,21/01/2014 a 23/01/2014,Pago,52.101-SECRETARIA MUNICIPAL EXTRAORDINARIA DA COPA 2014,"1.440,00"
184,DOMINGOS GOMES DE AGUIAR NETO,BRASILIA-DF,2014,"PARTICIPAR DE REUNIAO EM BRASILIA, NOS DIAS 04 E 05DE FEVEREIRO DE 2014                                                                                                                                                                                        ",0030,03/02/2014 a 05/02/2014,Pago,52.101-SECRETARIA MUNICIPAL EXTRAORDINARIA DA COPA 2014,"1.650,00"
185,FRANCISCO RICARDO CORREIA DE SOUSA,RIO DE JANEIRO-RJ,2014,"PARTICIPAR DE SEMINARIO OPERACIONAL DE PROTECAO ASMARCAS DAS 12 SEDES DA COPA DO MUNDO DE FUTEBOL FIFA BRASIL 2014, NO RIO DE JANEIRO, NOS DIAS 13 E 14DE FEVEREIRO DE 2014.                                                                                   ",0031,12/02/2014 a 14/02/2014,Pago,52.101-SECRETARIA MUNICIPAL EXTRAORDINARIA DA COPA 2014,"1.440,00"
186,ANDRE RAMOS SILVA,BRASILIA-DF,2014,PRESIDENTE DESTE INSTITUTO PARTICIPAR DA REUNIAODE AJSUTE PREPARATORIO PARA O X ENCONTRO NACIONALDE ESCOLAS DE GOVERNO.                                                                                                                                        ,0053,03/02/2014 a 05/02/2014,Pago,"18.201-INSTITUTO MUNICIPAL DE PESQUISAS, ADMINISTRACAO E RECURSOS HUMANOS","1.440,00"
187,JOSE BARBOSA PORTO,PORTO VELHO-RO,2014,"PARA JOSE BARBOSA PORTO, SUPERINTENDENTE DO IPM,PARTICIPAR DA 48A REUNIAO ORDINARIA DO CONAPREV,EM PORTO VELHO-RO, NOS DIAS 20 02 2014 E 21 02 2014                                                                                                            ",0062,19/02/2014 a 21/02/2014,Pago,18.202-INSTITUTO DE PREVIDENCIA DO MUNICIPIO - PREVFOR,"1.350,00"
188,FRANCISCA JULIANE BATISTA DO NASCIMENTO,PORTO VELHO-RO,2014,"PARA FCA JULIANE BATISTA DO NASCIMENTO, DIRETORADA PREVIDENCIA SOCIAL, PARTICIPAR DA 48A REUNIAOORDINARIA DO CONAPREV, EM PORTO VELHO - RO, NOSDIAS 20 02 14 E 21 02 14.                                                                                       ",0063,19/02/2014 a 21/02/2014,Pago,18.202-INSTITUTO DE PREVIDENCIA DO MUNICIPIO - PREVFOR,"1.350,00"
189,MARIA ELISABETH SOUSA AMARAL,BRASILIA-DF,2014,"PARTICIPAR DA REUNIAO DO GRUPO TECNICO DA COFIEX,PROGRAMA DE FORTALECIMENTO DE INCLUSAO SOCIAL E REDES DE ATENCAO - PROREDES.                                                                                                                                  ",1231,15/01/2014 a 16/01/2014,Pago,25.901-FUNDO MUNICIPAL DE SAUDE - ADMINISTRACAO GERAL,"1.100,00"
190,MARIA DO PERPETUO SOCORRO MARTINS BRECKENFELD,BRASILIA-DF,2014,"REF.A DIARIAS,ACRESCIDO DE UMA DIARIA DE DESLOCAMENTO,PARA MARIA DO PERPETUO SOCORRO MARTINS BRECKEN-FELD,SMS.PARTICIPAR DA REUNIAO DO GRUPO TECNICO DACOFIX.ATO N.014 14-SEGOV.                                                                               ",1232,15/01/2014 a 16/01/2014,Pago,25.901-FUNDO MUNICIPAL DE SAUDE - ADMINISTRACAO GERAL,"1.100,00"
191,MARIANA CARVALHO GOMES,BRASILIA-DF,2014,COM O OBJETIVO DE PARTICIPAR DO CURSO DE GESTAO DE PROJETOS.                                                                                                                                                                                                   ,0363,19/08/2014 a 23/08/2014,Pago,30.101-SECRETARIA MUNICIPAL DE TURISMO DE FORTALEZA,"2.250,00"
192,FRANCISCO IDENIO PONTES CORREIA,BRASILIA-DF,2014,"DIARIAS EM FAVOR FRANCISCO IDENIO PONTES,SECRETARIOEXECUTIVO DO CONSELHO MUNICIPAL DE SAUDE FORTALEZASIMBOLOGIA DAS-3,PARA PARTICIPAR DA III EXPOGEP-MOSTRA NACIONAL DE EXPERIENCIA EM GESTAO ESTRATEGIA EPARTICIPATIVA NO SUS.                                ",2296,02/02/2014 a 07/02/2014,Pago,25.901-FUNDO MUNICIPAL DE SAUDE - ADMINISTRACAO GERAL,"2.100,00"
193,OLINDA MARIA DOS SANTOS,BRASILIA-DF,2014,DEFESA DE EMPREENDIMENTO DO PROGRAMA MINHA CASA MINHA VIDA EM BRASILIA.                                                                                                                                                                                        ,0027,28/01/2014 a 31/01/2014,Pago,11.203-FUNDACAO DE DESENVOLVIMENTO HABITACIONAL DE FORTALEZA,"2.200,00"
194,ANTONIO LUIZ PEREIRA FRANCO,SAO GONCALO DO AMARANTE-RN,2014,VERIFICACOES EM MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                                       ,0025,23/01/2014 a 23/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"197,98"
195,LUIZ WAGNER BARBOSA DA SILVA,SAO GONCALO DO AMARANTE-RN,2014,VERIFICACOES EM MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                                       ,0026,23/01/2014 a 23/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"176,18"
196,ANTONIO LUIZ PEREIRA FRANCO,BEBERIBE-CE,2014,VERIFACOES EM MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                                         ,0027,21/01/2014 a 21/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"197,98"
197,LUIZ WAGNER BARBOSA DA SILVA,BEBERIBE-CE,2014,VERIFICACOES EM MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                                       ,0028,21/01/2014 a 21/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"176,18"
198,ANTONIO LUIZ PEREIRA FRANCO,PINDORETAMA-CE,2014,VERIFICACOES EM MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                                       ,0029,04/02/2014 a 04/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"197,98"
199,LUIZ WAGNER BARBOSA DA SILVA,PINDORETAMA-CE,2014,VERIFICACOES EM MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                                       ,0030,04/02/2014 a 04/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"176,18"
200,ANTONIO LUIZ PEREIRA FRANCO,CAUCAIA-CE,2014,VERIFICACOES EM MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                                       ,0031,13/02/2014 a 13/02/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"197,98"
201,WALDINAR BATISTA DE MORAES,SAO LUIS DO CURU-CE,2014,PAGAMENTO DE DIARIAS TECNICAS                                                                                                                                                                                                                                  ,0280,04/05/2014 a 06/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"528,54"
202,FLAVIA ROBERTA BRUNO TEIXEIRA,BRASILIA-DF,2014,PARTICIPACAO DE REUNIAO DOS GRUPOS GTREL E GTCON DA STN EM BRASILIA.                                                                                                                                                                                           ,1039,13/10/2014 a 17/10/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"2.250,00"
203,PLINIO ROQUE DA CRUZ FILHO,IPAUMIRIM-CE,2014,REALIZAR SUPERVISAO EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                                ,0281,22/04/2014 a 05/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.466,52"
204,ANTONIO LUIZ PEREIRA FRANCO,ARACATI-CE,2014,SUPERVISAO TECNICA EM INSTRUMENTOS DE MEDIR.                                                                                                                                                                                                                   ,0088,29/01/2014 a 31/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"593,94"
205,LUIZ WAGNER BARBOSA DA SILVA,ARACATI-CE,2014,SUPERVISAO TECNICA EM INSTRUMENTOS DE MEDIR.                                                                                                                                                                                                                   ,0089,29/01/2014 a 31/01/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"528,54"
206,ACELINO JOAQUIM DOS SANTOS NETO,BANABUIU-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0090,10/03/2014 a 21/03/2014,Anulado,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
207,JOSE AIRTON TAVARES DO PRADO,DEP. IRAPUAM PINHEIRO-,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0091,10/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
208,ACELINO JOAQUIM DOS SANTOS NETO,BANABUIU-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0092,24/03/2014 a 04/04/2014,Anulado,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
209,JOSAFHAT NOBRE DO NASCIMENTO,DEP. IRAPUAM PINHEIRO-,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0093,10/03/2014 a 21/03/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
210,ACELINO JOAQUIM DOS SANTOS NETO,QUIXERAMOBIM-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0094,07/04/2014 a 13/04/2014,Anulado,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.233,26"
211,ABINOAM RODRIGUES DE LIMA,INDEPENDENCIA-RS,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0095,24/03/2014 a 04/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
212,LUIZ GONZAGA DE AQUINO,BANABUIU-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0096,10/03/2014 a 21/03/2014,Anulado,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
213,LIA DE SOUZA PARENTE,RECIFE-PE,2014,PARTICIPAR DE REUNIOES PARA CONHECER O PROCESSO PLANEJAMENTO ESTRATEGICO OCORRIDO NA REFERIDA CIDADE.                                                                                                                                                          ,0165,07/08/2014 a 08/08/2014,Pago,11.202-INSTITUTO DE PLANEJAMENTO DE FORTALEZA,"760,00"
214,LUIZ GONZAGA DE AQUINO,BANABUIU-CE,2014,FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                                       ,0097,24/03/2014 a 04/04/2014,Anulado,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
215,RAIMUNDO SALES CARLOS,INDEPENDENCIA-RS,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0098,24/03/2014 a 04/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
216,ABINOAM RODRIGUES DE LIMA,MONSENHOR TABOSA-CE,2014,REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO.                                                                                                                                                                                              ,0099,07/04/2014 a 17/04/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.937,98"
217,ANTONIO AZEVEDO VIEIRA FILHO,SAO PAULO-SP,2014,PARTICIPAR DO 2 SEMINARIO GERAL DE SEGURANCA PARA ACOPA DO MUNDO FIFA BRASIL 2014.                                                                                                                                                                             ,0076,24/02/2014 a 25/02/2014,Pago,17.102-GUARDA MUNICIPAL DE FORTALEZA,"1.440,00"
218,DEBORA LOPES DE ARAUJO BEZERRA DE MENEZES,BRASILIA-DF,2014,"VIAGEM A BRASILIA P PARRTICIPAR DO ENCONTRO NACIO-,NAL DA AGENDA DE CONVERGENCIA E DOS COMITES LOCAISP PROTECAO INTEGRAL DOS DIREITOS DAS CIANCAS E ADOLESCENTES,DURANTE A COPA DO MUNDO 2014.                                                                 ",0159,15/04/2014 a 17/04/2014,Pago,11.101-GABINETE DO PREFEITO,"1.440,00"
219,ANDRE GARCIA XEREZ SILVA,FLORIANOPOLIS-SC,2014,VIAGEM A FLORIANOPOLIS PARA PARTICIPAR XXXIII ENCONTRO NACIONAL DO CONPEDI-CONSELHO NACIONAL DE PESQUISA E POS-GRADUACAO E DIREITO.                                                                                                                            ,0160,30/04/2014 a 04/05/2014,Pago,11.101-GABINETE DO PREFEITO,"2.400,00"
220,WILFRIDO TIRADENTES DA ROCHA NETO,BRASILIA-DF,2014,PAGAMENTO DE DESPESA C 2 DIARIAS DA REGIAO 2 (ACRESCIDA DE 1 DE DESLOCAMENTO) P O SECRETARIO EXECUTIVODA SECOT PARA PARTICIPAR DA REUNIAO NA ASSOCIACAOCONTAS ABERTAS NO DIA 04 04 2014 EM BRASILIA.                                                           ,0068,04/04/2014 a 04/04/2014,Pago,16.101-SECRETARIA DA CONTROLADORIA E TRANSPARENCIA,"1.100,00"
221,LUIZ ALBERTO ARAGAO SABOIA,RIO DE JANEIRO-RJ,2014,OBJETIVO DE REALIZAR VISITA TECNICA A FETRANSPOR-                                                                                                                                                                                                              ,0315,14/04/2014 a 15/04/2014,Pago,19.101-SECRETARIA MUNICIPAL DE CONSERVACAO E SERVICOS PUBLICOS,"1.100,00"
222,JOAO DE AGUIAR PUPO,RIO DE JANEIRO-RJ,2014,REALIZAR VISITA TECNICA A FETRANSPOR                                                                                                                                                                                                                           ,0316,14/04/2014 a 15/04/2014,Pago,19.101-SECRETARIA MUNICIPAL DE CONSERVACAO E SERVICOS PUBLICOS,"1.100,00"
223,DANIEL LUSTOSA MENDES DE SOUSA,BRASILIA-DF,2014,PARTICIPACAO DO SERVIDOR NA REUNIAO DA SECRETARIANACIONAL DE TRANSPORTE E DA MOBILIDADE URBANA.                                                                                                                                                                ,0308,16/03/2014 a 17/03/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"700,00"
224,ANDREA PERES FRAGOSO,PORTO ALEGRE-RS,2014,PARTICIPAR DO ENCONTRO COM PROFESSORES PARTICIPANTES DO PROGRAMA TIM FAZ CIENCIA.                                                                                                                                                                              ,5707,25/11/2014 a 28/11/2014,Pago,24.901-FUNDO MUNICIPAL DE EDUCACAO,"1.120,00"
225,EDLENE VALENTE BENEVIDES,BRASILIA-DF,2014,"PARTICIPAR DOS TRABALHOS DE DEFINICAO DE PARAMETROS OPERACIONAIS RELATIVOS AOS PRODUTOS, ISUMOS E ATIVIDADES A SEREM ELEGIVEIS PARA O PNAFM III                                                                                                                ",1044,19/10/2014 a 24/10/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"210,00"
226,FRANCISCO ASSUNCAO E SILVA,BRASILIA-DF,2014,REUNIAO SOBRE ESTRUTURACAO DE PPP'S E NO MINISTERIODA PREVIDENCIA SOCIAL.                                                                                                                                                                                      ,0314,25/03/2014 a 27/03/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.440,00"
227,MARCO AURELIO LIMA DE MEDEIROS,RECIFE-PE,2014,ACOMPANHAR O COORDENADOR DE ADMINISTRACAO TRIBUTARIA EM VISITA TECNICA PARA COLHER SUBSIDIOS PARA ODESENVOLVIMENTO E IMPLANTACAO DE NOVA FERRAMENTA DEGESTAO DO ISS DE FORTALEZA.                                                                              ,0323,25/03/2014 a 27/03/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.140,00"
228,PAULO LUIS MARTINS DE LIMA,RECIFE-PE,2014,ACOMPANHAR O COORDENADOR DE ADMINISTRACAO TRIBUTARIA EM VISITA TECNICA PARA COLHER SUBSIDIOS PARA ODESENVOLVIMENTO E IMPLANTACAO DE NOVA FERRAMENTA DEGESTAO DO ISS DE FORTALEZA.                                                                              ,0324,25/03/2014 a 27/03/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.140,00"
229,DANIELA DE MOURA VASCONCELOS,RECIFE-PE,2014,ACOMPANHAR O COORDENADOR DE ADMINISTRACAO TRIBUTARIA EM VISITA TECNICA PARA COLHER SUBSIDIOS PARA ODESENVOLVIMENTO E IMPLANTACAO DE NOVA FERRAMENTA DEGESTAO DO ISS DE FORTALEZA.                                                                              ,0325,25/03/2014 a 27/03/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.140,00"
230,CLAUDIO HENRIQUE ALVES CAMPOS,BRASILIA-DF,2014,ACOMPANHAR O SEC. EXECUTIVO DA CONTROLADORIA ETRANSPARENCIA WILFRIDO ROCHA E PARTICIPAR DE REU-NIAO COM A ASSOCIACAO CONTAS ABERTAS.                                                                                                                           ,0346,03/04/2014 a 04/04/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.100,00"
231,PABLO BRUNO DE MOURA NOBREGA,RECIFE-PE,2014,ACOMPANHAR O COORD. DE ADM. TRIBUTARIA EM VISITA TECNICA COM O INTUITO DE COLHER SUBSIDIOS PARA O DESENVOLVIMENTO E IMPLANTACAO DA NOVA FERRAMENTA DE GESTAO DO ISS DE FORTALEZA                                                                               ,0347,25/03/2014 a 27/03/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.140,00"
232,PEDRO JAIME DE FRANCA FACANHA,BRASILIA-DF,2014,PARTICIPACAO DE REUNIAO DO GRUPO GTSIS DA STN.                                                                                                                                                                                                                 ,0385,23/04/2014 a 24/04/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"700,00"
233,FLAVIA ROBERTA BRUNO TEIXEIRA,BRASILILIA-,2014,PARTICIPAR DE REUNIAO DOS GRUPOS GTREL E GTCON DASTN.                                                                                                                                                                                                          ,0387,22/04/2014 a 25/04/2014,Pago,23.101-SECRETARIA MUNICIPAL DE FINANCAS,"1.800,00"
234,SAMUEL ANTONIO SILVA DIAS,RIO DE JANEIRO-RJ,2014,"PARTICIPAR DE REUNIAO DE ATUALIZACAO DO PROJETO DEFINANCIAMENTO DO BNDS PARA CORREDOR 3-TRANSFOR E O-BRAS DE DRENAGEM DO PROGRAMA DRENURB,NO DIA 25 DEMARCO DE 2014.                                                                                           ",0369,24/03/2014 a 25/03/2014,Pago,27.101-SECRETARIA MUNICIPAL DE INFRAESTRUTURA,"1.100,00"
235,JOSE ROBERTO DE RESENDE,SAO PAULO-SP,2014,"PARTICIPAR DA 8A CONFERENCIA NACIONAL DE SANEMAMEN-TO,NOS DIAS 02 04 2014 A 04 04 04 2014.                                                                                                                                                                     ",0376,01/04/2014 a 04/04/2014,Pago,27.101-SECRETARIA MUNICIPAL DE INFRAESTRUTURA,"2.200,00"
